N,GPU_SIEVE,CPU_SIEVE,CPU_CLASSIC
7270,0.000027,0.000100,0.007633
7280,0.000049,0.000100,0.007927
7290,0.000032,0.000099,0.007681
7300,0.000010,0.000104,0.007533
7310,0.000010,0.000102,0.007550
7320,0.000034,0.000100,0.009190
7330,0.000011,0.000103,0.008067
7340,0.000011,0.000111,0.008437
7350,0.000011,0.000120,0.007821
7360,0.000017,0.000103,0.007882
7370,0.000014,0.000100,0.007704
7380,0.000055,0.000113,0.007846
7390,0.000012,0.000114,0.007718
7400,0.000014,0.000101,0.007643
7410,0.000016,0.000101,0.007926
7420,0.000034,0.000104,0.007775
7430,0.000011,0.000106,0.007550
7440,0.000049,0.000105,0.008685
7450,0.000030,0.000107,0.007548
7460,0.000011,0.000101,0.007601
7470,0.000033,0.000105,0.008368
7480,0.000033,0.000105,0.007696
7490,0.000014,0.000105,0.007710
7500,0.000017,0.000103,0.008347
7510,0.000047,0.000154,0.008974
7520,0.000011,0.000109,0.008159
7530,0.000011,0.000111,0.008784
7540,0.000018,0.000119,0.009341
7550,0.000029,0.000110,0.008432
7560,0.000012,0.000107,0.008434
7570,0.000012,0.000107,0.008360
7580,0.000012,0.000109,0.008450
7590,0.000016,0.000108,0.007939
7600,0.000011,0.000108,0.008315
7610,0.000036,0.000102,0.009205
7620,0.000042,0.000107,0.010066
7630,0.000013,0.000108,0.009160
7640,0.000012,0.000108,0.008186
7650,0.000013,0.000164,0.008472
7660,0.000013,0.000162,0.009070
7670,0.000016,0.000110,0.008300
7680,0.000011,0.000109,0.008860
7690,0.000046,0.000125,0.010493
7700,0.000010,0.000120,0.009217
7710,0.000017,0.000114,0.010289
7720,0.000021,0.000175,0.010009
